Topic,Question,Details
地下シェルターの整備計画, ミサイル攻撃に備えた「地下シェルター」の整備計画を進めるべきですか？, 東京都は外国からのミサイル攻撃に備え、住民が一定期間滞在できるシェルターを麻布十番の地下に整備する方針です。ミサイルが飛来した際は爆風などから身を守る「緊急一時避難施設」は約4200カ所指定されていますが、攻撃が長期化したり甚大な被害が発生した場合はシェルターに身を寄せることを想定しています。
「臨海地下鉄」の新設計画, 東京と有明地域を結ぶ「臨海地下鉄」の新設計画に賛成しますか？, 東京都は、東京駅から江東区の東京ビッグサイト付近を結ぶ「臨海地下鉄」について、2040年までの開業を目指しています。7駅の新設が検討されており、既存の駅周辺の混雑緩和や、他路線との接続による羽田空港へのアクセスも向上するとしています。
多摩モノレールの延伸, 多摩都市モノレールの延伸計画を進めるべきですか？, 東京都は多摩都市モノレールを瑞穂町まで延伸する計画を立てています。現在の終点である東大和市の上北台から瑞穂町の箱根ケ崎まで延伸し、7駅を新設する予定です。また、開業すれば都内の市で唯一、駅がない武蔵村山市に初の鉄道駅ができることになります。
五輪施設の後利用の見直し, 東京五輪で整備した競技場などの恒久施設の後利用方法を見直すべきですか？, 東京都は、東京五輪の競技会場として6つの恒久施設を建設し、大会後は一般利用を行っています。ただ、一部の施設を除いて赤字が続いており、赤字の分は都が埋めています。
PFAS問題, 東京・多摩地域のPFASの汚染源の解明・特定を都としても積極的に行うべきですか？, 多摩地域の地下水から、有害性が指摘される有機フッ素化合物（PFAS）が検出されています。PFASは体内に蓄積すると健康に影響を及ぼす可能性が指摘されています。
パートナーシップ制度, 東京都としてパートナーシップ制度を推進すべきですか？, 東京都は「パートナーシップ宣誓制度」を導入しており、LGBTなど性的少数者のカップルとしての受理証明書があれば、都営住宅への入居資格や、救急搬送時に家族として搬送先の情報を得るなどの行政サービスを受けることができます。都によると受理証明書は令和6年5月31日時点で1222組に交付されています。
都庁の女性職員の割合, 都庁の女性職員の割合を増やしていくべきですか？, 東京都は女性活躍を推進する取り組みを進めていますが、都庁の女性職員の割合は令和５年の段階で34.9％となっています。
外国人労働者の増加, 人手不足対策として、東京都内で働く外国人労働者をさらに増やしていくべきですか？, 全国的に人手不足が指摘されていますが、東京都は全国で最も多くの外国人が居住しており、労働者数においても全国最多となっています。
都職員のチャットGPT使用, 東京都の職員が業務でチャットGPTを使用することに賛成しますか？, 東京都は全局で文章生成AI「チャットGPT」の利用を始めています。個人情報や機密性の高い情報は扱わないよう全職員に研修を行うほか、用途は文章の作成など限定的な導入にとどめています。
築地の再開発, スタジアム建設をはじめとした築地市場跡地の再開発計画に賛成しますか？, 築地市場跡地は総事業費約9000億円となる再開発が計画されており、5万人規模の多目的スタジアムやホテル、商業施設などを整備するとしています。三井不動産を代表としたトヨタ不動産、読売新聞グループ本社など11社の企業連合が事業者を担うことになっています。
