link,time,tweet,topic_idx,topic,similarity
https://x.com/toshio_tamogami/status/1848116795926061127,2024-10-20T21:39:15+00:00,テレビを見ていたら少子化対策が必要だが今以上の財源をどうやって捻出するのかという報道が行われていた。税金が財源だということが前提の報道だ。財源が必要であれば国は国債発行で必要なだけ確保すればよい。税金が財源という考えから抜けだし政府の財政支出を拡大できなければ日本経済は強くなれない。この30年の緊縮財政が経済弱体化を招いた。緊縮財政派には引退してもらい積極財政に打って出るべきだ,7,少子化対策と高齢者福祉,0.589198
https://x.com/toshio_tamogami/status/1901626620131295585,2025-03-17T13:28:11+00:00,3月5日石破首相が労働力不足のため外国人の更なる活用を表明。失業者もいるのだから労働力不足はうそだと思うが、政府が外国人を雇った企業に72万円も支給すると言うならば企業側は日本人を解雇して外国人を雇いたいと思うのは当然だ。自民党は全く腐った政党になってしまった。日本国民の面倒を見ないで外国人優遇ばかり打ち出す。人件費を下げるための経団連などの要求と自らの利権があるのだろうが、その行き着く先は日本解体だ。自民党に政権を任せていても日本の将来は暗い。 門田隆将 16 日本人の派遣社員が切られ外国人を雇った企業に72万円が支給される日本本末転倒に唖然103万円の壁や運送業界の2024年問題を始めどうしても労働力不足を創り出したい自民党このまま移民大国化なら欧州と同じ道を辿るなぜ自民党は日本を弱く貧しく危なくしたいのか謎,17,外国人労働者の増加,0.5888469
https://x.com/toshio_tamogami/status/1790933059627516035,2024-05-16T02:31:29+00:00,つばさの党が先日の東京江東区補欠選挙を巡り、大音声などにより他候補の街頭演説を妨害したとして警察の強制捜査を受けている。悪意があることは明らかであり当然の報いだ。民主主義は何をやるのも自由であるが他の人たちの行動を妨害してはいけない。今回警察が選挙の後、迅速に動いたことは良かったと思う,4,選挙妨害対策,0.5855056
https://x.com/toshio_tamogami/status/1708212173816860763,2023-09-30T20:08:13+00:00,インボイス制度が始まり消費税の課税が強化される。政府は新たな税負担軽減の特例措置を講じるそうだが、ならば始めから本制度をやらなければよい。デフレ下で税を下げるべき時に増税する。国民は税が超高齢化社会に使われるとか騙されている。国は財源として税を徴収する必要はないのだ。国債発行を財源とすればよい,8,税の偏在是正措置,0.58520913
https://x.com/toshio_tamogami/status/1718025913559073012,2023-10-27T22:04:31+00:00,政府は来年6月から期間1年限定で年間4万円の減税をするとか。如何にも少ない額だ。何故大幅減税が出来ないのか。それは政治家の多くが税が国家の事業の財源であると認識しているからだ。税が国家の事業の財源ではないことを多くの国民が理解しないと大幅減税は出来ず景気回復もできない。税は税を徴収することを仕事にしている人たちにとって必要なだけなのだ。国債発行こそが財源なのだ,8,税の偏在是正措置,0.5834646
https://x.com/toshio_tamogami/status/1850996887123554346,2024-10-28T20:23:42+00:00,働き方改革とは何だったのか。外国人労働者を入れるためには労働力が不足していなければならない。そこで日本人が働く時間を減らし安い賃金で働く外国人労働者を使おうとしたのではないか。そうすれば全体の人件費を減らし株主配当を増やすことが出来る。ブラック企業が多いと言い張り、国が労使に任せていいものにわざわざ国の関与を高める。会社は新たな規制で迷惑するだけだ。残業しても給料を増やしたい若い人たちはそれも出来ない。そして外国人が増えて別の問題が起きる。自民党は国民を不幸にして来た,17,外国人労働者の増加,0.5750735
https://x.com/toshio_tamogami/status/1893058711654146238,2025-02-21T22:02:22+00:00,を伸ばすためにはの構成要素の半分以上を占める個人消費を伸ばさなければならない。そのためには個人の可処分所得を増やすことが必要で減税が必須だ。しかし今の自公政府は国民民主党の103万円の壁引き上げにも日本維新の会の高校授業料無償化案にも必死で抵抗して減税を阻止しようとしている。財源が不足するというが税は国の事業の財源ではないことを石破総理も、野党第一党の野田党首も分かっていないようだ。今の日本で減税に反対する政治家は無知故に国民を虐めているだけだ,9,ふるさと納税制度の見直し,0.57453305
https://x.com/toshio_tamogami/status/1923523776022708603,2025-05-16T23:39:40+00:00,自民党税調が今後の社会保障などを考えると消費税の引き下げは難しいとか言っている。しかし税は国の事業の財源ではない。国は国債発行という無限の財源を持つ。自民党はいつまで税が財源で国の事業が行われていると国民を騙し続けるのか。消費税は金を使ったら10％罰金を取るぞということなのだ。その取った罰金は輸出先の国からは消費税が取れないからとの理由で輸出に携わる大企業に還付される。2023年度の還付金は2.2兆円もあるそうだ。消費税は廃止したらよい,8,税の偏在是正措置,0.5722379
https://x.com/toshio_tamogami/status/1774555438799012162,2024-03-31T21:52:40+00:00,少子化対策支援負担金が平均月額450円になるという。金額は大きくないから少し負担をするのはやむを得ないと思っている国民がほとんどだろう。しかし増税であることに変わりはない。ここにも税が国の事業の財源ではないのに税が財源で少子化対策が進められるという国民に対する騙しがある。国は財源として税を徴収せずとも全く困らない。減税をしなければ景気は良くならないのにいつまで国民を騙し続けるのか,7,少子化対策と高齢者福祉,0.57114804
https://x.com/toshio_tamogami/status/1924231813540798559,2025-05-18T22:33:09+00:00,消費減税が参院選の争点になってきた。野党は政党ごとに多少の違いはあるが税率引き下げ、消費税廃止を主張している。しかし自民党は社会保障などの財源に影響が出るとの理由で減税には慎重だ。しかし税は財源ではないから財源には影響は出ない。自民党が慎重な真の理由は、消費税20数兆円から4分の1ほど輸出関連の経団連に所属する大企業などに輸出還付金として還付されることだ。企業団体献金年間約50億円の内、95％以上は自民党に献金されている,9,ふるさと納税制度の見直し,0.5702724
https://x.com/toshio_tamogami/status/1696977662051537098,2023-08-30T20:06:17+00:00,税は国民からお金を巻き上げること、国債発行は国民へお金を供給することだ。税と国債発行でインフレ、デフレを制御する。しかし超高齢化社会が来るので税でお金を集めなければいけないなどと多くの国民は騙されている。税で潤うのは徴税業務に携わる人たちだけ。一般国民は苦しめられるだけだ,8,税の偏在是正措置,0.56927955
https://x.com/toshio_tamogami/status/1826402066543358282,2024-08-21T23:32:40+00:00,高額納税者は国民のために高い税を払って貢献していると思っていることだろう。しかし実は全く貢献などしていないのだ。税は国の事業の財源ではないからだ。税はこれを集める業務に携わる人たちだけに利益があるが税を徴収される一般の国民にとっては罰金と同じだ。消費税は金を使ったら罰金、住民税は生きているだけで罰金、相続税は死んだときも罰金、法人税は会社を興すと罰金ということだ。税は国民の行動を制御するために徴収するだけなのだ。通行税を取ればその地域に入ってくる車の量を減らし交通渋滞を緩和できる,8,税の偏在是正措置,0.56670266
https://x.com/toshio_tamogami/status/1712219751676829704,2023-10-11T21:32:54+00:00,国は財源とするために税を集める必要はない。しかし多くの国民は税が財源であると騙されている。だから少子化対策の財源として消費税を上げるべきとか言う意見が経団連から出る。経団連に籍を置くような大企業は輸出で儲けているが、外国からは消費税が取れないという理由で、昨年でも6兆6千億円もの消費税が戻し税で還元される。消費税が上がった方が大企業は利益が出る。それが経団連から消費税増税の意見が出る大きな理由だと思う,8,税の偏在是正措置,0.56655264
https://x.com/toshio_tamogami/status/1849545909123887361,2024-10-24T20:18:02+00:00,参政党やれいわ新選組が減税を唱える。しかし従来の自民党支持者は、国の財政が厳しいのに減税したら財源が無くなるではないかと思っている人が多い。だから減税を主張するのは無責任というわけだ。これらの人たちは税は財源ではないということを知らない。自民党政府に騙されて増税を受け入れている。国の事業の財源は国債発行なのだ。しかも国債は借金というのも嘘だ。償還の必要などないのだ。目覚めよ日本国民,9,ふるさと納税制度の見直し,0.56538284
https://x.com/toshio_tamogami/status/1894493336008102153,2025-02-25T21:03:03+00:00,国民民主党の椎葉幹事長の記者会見の様子をネットで見た。103万円の壁の引き上げ、ガソリン税の減税で国民の可処分所得を増やすという主張が心強い。何故自民党がこれに抵抗するのか。税は国の事業の財源ではないから減税で財源が不足するというのは嘘なのだ。自民党はいつまで国民を騙し続けるのか。皆さん、もう自民支持は止めよう,9,ふるさと納税制度の見直し,0.5649552
https://x.com/toshio_tamogami/status/1759705376025624990,2024-02-19T22:23:50+00:00,子育て支援金を令和8年度から徴収するという。また増税だ。国の事業の財源は国債発行で賄えるのに新規事業と言えば必ず増税だ。税は使われないが税徴収業務に携わる人たちなど一部の人たちだけが利益を得る。消費税は社会保障のために必要などと説明しているが全くの嘘だ。税は罰金であり国民いじめなのだ。消費税が廃止されても国家財政には全く影響しない,9,ふるさと納税制度の見直し,0.5635953
https://x.com/toshio_tamogami/status/1758978703412080736,2024-02-17T22:16:17+00:00,は独に抜かれ世界4位になった。の構成要素の3分の2近くは個人消費であるが消費税が少しずつ上がって消費が落ち込めばは下がる。しかし消費税が上がって儲かる企業がある。輸出に携わる経団連に所属する大企業だ。外国からは消費税が取れないという理由で国内で払った消費税が還元される。昨年度の戻し税は6兆千億円にもなるという。我が払った消費税の中から戻される。消費税が上がればこの額は増える。経団連会長が少子化対策の安定財源として消費税を上げることを政府に要求している。綺麗な理由を言っているがそれは嘘だ。自分たちの儲けだけを考えているのだ,8,税の偏在是正措置,0.55597776
https://x.com/toshio_tamogami/status/1872011162969416147,2024-12-25T20:06:56+00:00,23日産経新聞2面、自民党小野寺五典政調会長は22日の番組で国民民主党に対し非課税枠を178万円に引き上げると国と地方で8兆円の減収が見込まれるので補完する財源を示すよう要求した。これに対し国民民主の浜口誠政調会長は働き控えの解消や所得増によって消費税収入が増加すると訴えたとか。二人とも税が国の事業の財源と思い込んでいる。大物政治家にしてこの間違いだ。この認識を修正し国が減税に大きく舵を切らないと日本の衰退は続く。財源は国債発行なのだ。国債発行は国民に対するおカネの供給であるだけで借金ではないのだ,9,ふるさと納税制度の見直し,0.5546416
https://x.com/toshio_tamogami/status/1830744729992208877,2024-09-02T23:08:51+00:00,英仏独蘭など欧米諸国は移民による外国人が増えて現在では頻繁に暴動が起きている。我が国も今、安い労働力が必要だと言って外国人労働者がどんどん増えている。埼玉県川口市のクルド人騒動に見られるように、やがて欧米諸国と同じ事が起きるだろう。移民は彼らが集団で行動することがないように日本に同化できるゆっくりとした速度で行うべきだ。日本の伝統文化を守るために日本政府は規制を強化すべきだ,17,外国人労働者の増加,0.5530567
https://x.com/toshio_tamogami/status/1909733367396073749,2025-04-08T22:21:30+00:00,現在企業は人手不足で困っているという。しかし一方で我が国には170万人ほどの失業者がいる。この時政府は外国人労働者の雇用で人手不足に対処しようとするが、それでは日本国民の給料を下げるだけで失業者問題は解決しない。財政出動や法人税の減税などでもっと問題解決のための政府の努力が必要なのではないか。政府は外国人を当てにすべきではないし外国人を養う必要もない,17,外国人労働者の増加,0.5520835
https://x.com/toshio_tamogami/status/1826711778040185157,2024-08-22T20:03:21+00:00,税は国の事業の財源ではないと言っても俄かに理解できない人もいるだろう。町内会では会費を集め、会費を使って事業を行う。会費を集めなければ何もできない。国の税金をこれと同じように理解している人は多い。しかし国は町内会と違って通貨を発行する権限を持つ。だから会費即ち税を徴収しなくてもお金はあるのだ。国債発行で財源はいくらでも出来るし、国債は国の借金であるというのも嘘で償還する必要もない,8,税の偏在是正措置,0.5513902
https://x.com/toshio_tamogami/status/1728186687413743706,2023-11-24T22:59:49+00:00,財政法4条には「国の歳出は、公債又は借入金以外の歳入を以て、その財源としなければならない」とある。国債発行で財源を作っていいのは特別の場合に限られる。これを長期続けた結果国民は税が国の事業の財源であると思うようになった。税は財源ではない。国債発行による財政出動で軍事力強化やその他の事業をさせない仕掛けがによってつくられた。憲法9条とともに財政法4条を直さないと日本弱体化が進む,8,税の偏在是正措置,0.5495405
https://x.com/toshio_tamogami/status/1760060145193963929,2024-02-20T21:53:33+00:00,子育て支援金を増やしても少子化にはあまり効果はない。我が国では組の夫婦の間に生まれる子供の数はこの50年くらい変わっていない。結婚する夫婦の数が50年前に比べ半減しているから少子化になっている。我が国の婚外子の割合は2％程度であり、4065％にもなる欧米諸国とは違った対策が必要だ。結婚させないと少子化は改善されない。男性の所得が低く結婚できないことはデータで分かる。所得を増加させることが最も効果的な少子化対策なのだ,7,少子化対策と高齢者福祉,0.5459718
https://x.com/toshio_tamogami/status/1853917346232234456,2024-11-05T21:48:34+00:00,最近闇バイト事件がテレビや新聞を賑わせている。このような悪事を働く者に対しては法に基づく厳重な処罰が必要であるが、政治家や財務省などの高官の人たちには厳重な取り締まりだけでなく、景気が悪い状態が長期にわたり続き、若者などが生活に困っているという背景があるということについて真摯に反省してもらいたい。30年以上も景気が低迷する政治が正しい政治であるはずがない。経済財政政策の根本的見直しが必要なのだ,5,歌舞伎町や「トー横キッズ」問題,0.54377687
https://x.com/toshio_tamogami/status/1869869123037220864,2024-12-19T22:15:14+00:00,自公は本日決定する7年度の与党税制改正大綱に年収103万円の壁を123万円にすることを明記するという。国民民主党の主張である178万円は無視されることになる。財源が減るというのが自公の主張であるが税は財源ではない。税収減は通貨発行権を持つ国がいくらでも対応できる。自公の主張は国民生活を置き去りにし財務省や政治家の既得権を守るだけだ。自公には国民を守るために国民民主党の提案を丸呑みしてもらいたいものだ,9,ふるさと納税制度の見直し,0.5430942
https://x.com/toshio_tamogami/status/1900319873651401044,2025-03-13T22:55:38+00:00,政府は11日、深刻化する人手不足に対応するため外国人材の受け入れを円滑に進めるための運用方針を閣議決定した。 石破総理大臣は 「特定技能制度や育成就労制度が人手不足に悩む国内企業、我が国で働こうとする外国人材の双方にとって真に利用しやすく魅力があるものとなるよう、令和9年の運用開始に向けて準備を着実に進めると言ったそうだ。しかし何故人手不足なのか、仕事は日本国民が働けるだけあれば十分なのではないか。外国人をあてにする体制を直すべきだ。移民などが増えて日本が日本でなくなってしまう,17,外国人労働者の増加,0.5393652
https://x.com/toshio_tamogami/status/1873494412644450541,2024-12-29T22:20:50+00:00,学校給食の無償化について国会でも提案され4600億円程度の予算が必要でまた財源をどうするか議論になっている。財源は国債発行で国が予算を確保すればよい。教育は国家の将来にとって最重要事項であり給食に限らず機会均等の観点から教育全体を無償化すればよい。問題は反日が浸透している学校教育を愛国教育に切り替えることだ,0,高校授業料の「実質無償化,0.5391991
https://x.com/toshio_tamogami/status/1822022337006534663,2024-08-09T21:29:11+00:00,超高齢化社会が来るので現役世代の負担が増えるというのは嘘だ。税金で国の事業が行われていると国民を騙し税負担を増やすための口実だ。税を増やすと税を集める仕事に携わる人たちだけが得をして大多数の国民は損をする。しかも集めた税は事業の財源としては使われないのだ。簡単に言うとごみ箱に捨てるだけだ,8,税の偏在是正措置,0.5380815
https://x.com/toshio_tamogami/status/1885082855543627844,2025-01-30T21:49:10+00:00,国の事業財政支出は国民生活を豊かにし困っている人を助けるために行われる。一方で税金は取とればとるほど国民生活は貧しくなる。自公政府や立憲民主党、維新の会などは財政支出には財源が必要と言って税金を取り立てる。これでは国民が豊かになれるはずがない。この三十数年の歴史が証明している。国民の多くが税は町内会の会費と同じで国の財源だと騙され、税が上がることを容認しているからだ。財源は国債発行なのだ,8,税の偏在是正措置,0.5374572
https://x.com/toshio_tamogami/status/1835094221231210628,2024-09-14T23:12:11+00:00,町内会は会費を集めなければ会の運営は出来ない。しかし日本の国は会費即ち税金を集めなくても通貨発行権があるから国の事業は好きなだけできる。国債発行は借金ではなく国民に対するおカネの供給であり、税はお金の回収である。国債発行と税の徴収によりインフレ、デフレを制御するのだ。30年間もデフレが続くのに税や掛け金など国民からおカネを取り上げるのは間違いだ。減税して政府支出を拡大を表明する総裁候補に現れてもらいたいものだ,8,税の偏在是正措置,0.53473526
https://x.com/toshio_tamogami/status/1736878989124509993,2023-12-18T22:39:55+00:00,18日の産経主張は税制改正で「負担に臨む姿勢が見えぬ」だ。防衛増税の実施時期が先送りされたことにも批判的だ。これを書いている人は税が財源だと誤解している。保守派と言われる人たちは憲法改正の必要性は主張するが財政法4条の縛りには無頓着な場合が多い。国を守るためには増税が必要だと言うのは全く嘘なのだ。この主張を読んだ国民は現在の生活が苦しいのにこれ以上の増税が必要なら国の守りもそこそこにしてくれと言いたくなるだろう,8,税の偏在是正措置,0.533708
https://x.com/toshio_tamogami/status/1764831193130819598,2024-03-05T01:52:00+00:00,税は財源にあらず。国民の行動をコントロールするためにある,8,税の偏在是正措置,0.5330126
https://x.com/toshio_tamogami/status/1736173390703231457,2023-12-16T23:56:07+00:00,参議院議員の西田昌司氏が繰り返し税は財源ではないということを説明している。多くの国民がこれを理解すれば日本は今減税をすべきだということが分かる。少子化対策、防衛費増なども税ではなく通貨供給国債発行でいくらでも出来るのだ。 . 今年の漢字税！税の本質は財源ではなく通貨を流通させる装置！岸田総理はこのことを説明すべきだ！西田昌司ビデオレター令和5年12月... 今年の漢字税！税の本質は財源ではなく通貨を流通させる装置！岸田総理はこのことを説明すべきだ！西田昌司ビデオレター令和5年12月13日参議院議員西田昌司経世済民こそ政治の使命西田昌司チャンネルでは、テレビや新聞では報道されていない様な現場の政治情勢を直接みなさまにお届けいたします。チャンネル登録よ,9,ふるさと納税制度の見直し,0.53204465
https://x.com/toshio_tamogami/status/1876775773140648069,2025-01-07T23:39:47+00:00,選択的夫婦別姓法案が立憲民主党から今月召集の通常国会に提出されるという。自民党にも一定数の推進派がおり、公明党は賛成なので年内成立が現実味を帯びてきた。しかし鈴木さんの奥さんが田中さんで、田中さんの奥さんが斎藤さんだとかいうことでは社会が混乱するのではないか。家族の一体感も崩れていくだろう。伝統文化を簡単に壊すべきではないと思う,15,パートナーシップ制度,0.52865064
https://x.com/toshio_tamogami/status/1723487165936751087,2023-11-11T23:45:35+00:00,クルド人の運搬状況だそうです。しばしば事故が起きるのも頷けます。外国人労働者が増えるとこういうことが起きやすくなると思います。外国人労働者に頼らなくてもいい日本を目指すべきです,17,外国人労働者の増加,0.5284076
https://x.com/toshio_tamogami/status/1804754371458023712,2024-06-23T05:52:27+00:00,明日の街頭演説のスケジュールです赤羽駅東口交番前北千住駅西口デッキ上押上スカイツリーニトリ前秋葉原電気街改札側新橋広場 変更がある場合がございます,11,「臨海地下鉄」の新設計画,0.5268316
https://x.com/toshio_tamogami/status/1856814344702758986,2024-11-13T21:40:12+00:00,自民党は年内の臨時国会で政治資金規正法の再改正を行う方針だが、これまでも法を守ることが出来なかったのに、さらに厳しい法になっては更に違法行為が出易くなるだろう。米国大統領選ではハリス氏は約10億ドル、トランプ氏は約4億ドルの寄付金を集めたという。これに比べれば遥かに少額のカネで、日本の国会では常に政策論議そっちのけで政治とカネの問題ばかりが取り上げられる。しかも政治家がもらったカネを報告しなかっただけのことなのに、いつまでも騒いでいることは止めてもらいたい。国会はスキャンダル追求の場ではない。30年以上も景気が悪く国民が貧困に喘いでいることこそが大問題だ。野党もマスコミもその責任こそ追求すべきだ,4,選挙妨害対策,0.5246843
https://x.com/toshio_tamogami/status/1728544207407866103,2023-11-25T22:40:28+00:00,税は国民からお金を巻き上げることであり国債発行は国民に対するお金の供給だ。消費税は消費をしたら10％罰金を取るぞということで消費を抑える政策だ。の6割以上は個人消費だから消費を抑えては景気が良くならない。しかも税は国の事業の財源ではないから国は消費税を取る必要はない。しかし高齢化社会が来るから応分の負担をお願いするとか言って国民を騙している,8,税の偏在是正措置,0.5232938
https://x.com/toshio_tamogami/status/1756059836612239698,2024-02-09T20:57:45+00:00,「子ども子育て支援金」のため、医療保険料に上乗せする形で1人あたり年間平均6千円ほど負担が増える見込みであることを岸田総理が明らかにした。500円という金額はともかく税が国の事業の財源になると間違って認識している典型的な例だと思う。国は財源としての徴税は必要としない。国債発行こそが財源だ。そして国債は子や孫が税で返還する必要もない。これを国民の多数が理解しないと今後とも税は無限に上がっていく可能性がある,9,ふるさと納税制度の見直し,0.51887536
https://x.com/toshio_tamogami/status/1911246274013380804,2025-04-13T02:33:15+00:00,報道などによると政府与党の中でようやく補助金ではなく減税について話が出るようになったようだ。国民が税は国の事業の財源ではないということを理解し財務省前でデモを行うなど、特に消費税の廃止について訴えるようになった。夏の参院選で劣勢を伝えられる自公も選挙のために動き出したということだろう。多分与党はぼろ負けすると思うが、それを経過して政界再編につながっていくことが日本を復活する道だと思う。今の左に支配された政治では日本の衰退は継続する,8,税の偏在是正措置,0.51704013
https://x.com/toshio_tamogami/status/1715931171811738014,2023-10-22T03:20:46+00:00,鈴木財務相は20日の記者会見で「防衛関係費のような恒常的に必要な経費は税制措置で安定的な財源を確保することが大切だ」と説明したとか。この説明で国民の多くは税金が財源となり国の事業が行われると誤解するだろう。財務大臣が国民をミスリードしている。財務相はこれを本当に正しいと思っているのだろうか,8,税の偏在是正措置,0.5153935
https://x.com/toshio_tamogami/status/1695898802937631005,2023-08-27T20:39:17+00:00,岸田首相が外国人と共生する社会を考えるべきという発言をして移民受け入れに積極的であるが、仏独など積極的に移民を受け入れた国がそのために国内問題を抱えることになった現状をよく考えるべきだ。移民は当初労働力を確保するうえで有効かもしれないが後年国柄を変えてしまうかもしれない,17,外国人労働者の増加,0.51004606
https://x.com/toshio_tamogami/status/1703160248650133767,2023-09-16T21:33:41+00:00,15日(金の朝刊などで健保組合の4割が赤字という記事が載った。政府の社会保険料値上げの動きが始まった。増税である。景気が悪いのだから増税するなら他の税金を下げればよい。どうせ税金は国の事業の財源ではないのだから。増税は国民いじめである。しかし増税によって財務省の天下り先は増えるだろうと思う,9,ふるさと納税制度の見直し,0.5099354
https://x.com/toshio_tamogami/status/1706054807050735900,2023-09-24T21:15:37+00:00,昨朝の日曜討論で少子化対策や防衛費増について与野党の代表討論があった。歳出改革や財源をどうするかについて先生方が意見を述べられるが皆様税は財源ではない、また国債は借金ではないという認識がないようだ。何かを削って何かを増やす緊縮財政の考え方では景気回復は出来ない。事業が必要であれば国債発行で財源を作ればよい。国債は借金ではない。子や孫が税で返還する必要もない。国債を償還している国は日本だけなのだ,7,少子化対策と高齢者福祉,0.5099
https://x.com/toshio_tamogami/status/1699518086481928582,2023-09-06T20:21:01+00:00,"現在は昔のように夫一人の働きで一家,5人が食べていける収入がない家庭が多い。そこで妻も家計を助けるために働く。女性の多くが働けば少子化も進む。日本のが30年間伸びず景気が悪い、その中で株主配当総額がこの20年で10倍以上になっている。労働者の給与が増えない。結婚できず少子化が進む",7,少子化対策と高齢者福祉,0.50986886
https://x.com/toshio_tamogami/status/1871686469347348938,2024-12-24T22:36:43+00:00,国民民主党の支持率が上がっているようだ。103万円の壁突破の減税について多くの日本国民が理解し始めたということだろう。この国民生活が苦しい時期に自民党が減税をできるだけ圧縮しようとしていることが理解できない。一方で106万円の壁は実質増税なのですんなりと決まる。自民党は国民を幸せにすることを考えていないようだ。来年の参議院選挙でもっと負けるための準備をしているのか,9,ふるさと納税制度の見直し,0.50770617
https://x.com/toshio_tamogami/status/1778506890684797436,2024-04-11T19:34:20+00:00,政府は何か事業を始めるのには財源が必要と言って子供、子育て増税などに走る。しかし国は国債発行で財源を確保できるので増税は不要だ。そして国債発行は国民に対するお金の供給であり借金ではない。しかし国民の多くが税が財源と騙されているからやむを得ないのか。増税の度に国民生活は貧しくなる,8,税の偏在是正措置,0.50559413
https://x.com/toshio_tamogami/status/1726698942405259383,2023-11-20T20:28:03+00:00,防衛費増など歳出を拡大するためには国民の応分の負担即ち増税が必要という。しかし税は国の事業の財源ではないから税を徴収する必要はない。国債発行で事業は出来るのだ。だが国民の多くは税こそ安定財源、国債発行は借金だと騙されている。そして必要な国債発行は行われず、税は少しずつ上がって我が国は30年間も不景気から抜け出ることが出来ずにいる。財務省主導の緊縮財政が間違っているのだ,8,税の偏在是正措置,0.4995644
